name,country,max,min,mean,median
Aberdeen,Scotland,151.0,37.0,83.090909090909093,75.0
St Johnstone,Scotland,251.0,92.0,196.68181818181819,201.0
Dundee Utd,Scotland,401.0,92.0,211.45454545454547,201.0
Hibernian,Scotland,501.0,92.0,291.0,300.0
Partick,Scotland,751.0,84.0,394.36363636363637,425.5
Ross County,Scotland,751.0,92.0,466.0,501.0
Kilmarnock,Scotland,1001.0,92.0,577.36363636363637,501.0
St Mirren,Scotland,2001.0,92.0,936.4545454545455,1000.0
Hearts,Scotland,5000.0,92.0,1147.8181818181818,751.0
Cruzeiro,Brazil,2.5,1.59,1.9633333333333332,1.8
Botafogo RJ,Brazil,6.0,3.85,4.9500000000000002,5.0
Gremio,Brazil,7.0,4.61,6.2033333333333331,7.0
Corinthians SP,Brazil,12.0,9.0,10.799999999999999,11.4
Internacional RS,Brazil,21.0,4.04,11.68,10.0
Atletico PR,Brazil,41.0,10.0,20.800000000000001,11.4
Atletico Mineiro,Brazil,52.0,41.0,47.666666666666664,50.0
Coritiba,Brazil,51.0,22.0,34.333333333333336,30.0
Santos SP,Brazil,51.0,27.0,39.333333333333336,40.0
Fluminense RJ,Brazil,62.0,50.0,57.666666666666664,61.0
Vasco da Gama,Brazil,81.0,22.0,51.0,50.0
Goias GO,Brazil,101.0,30.0,54.333333333333336,32.0
Flamengo,Brazil,101.0,50.0,75.666666666666671,76.0
Sao Paulo,Brazil,126.0,62.0,96.0,100.0
Vitoria,Brazil,151.0,32.0,77.666666666666671,50.0
Bahia,Brazil,151.0,48.0,83.0,50.0
Criciuma,Brazil,151.0,76.0,109.0,100.0
Ponte Preta,Brazil,501.0,32.0,266.5,266.5
Portuguesa,Brazil,751.0,32.0,391.5,391.5
Nautico PE,Brazil,2001.0,32.0,1016.5,1016.5
