name,group,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Freiburg,germany/bundesliga/german-bundesliga,501.0,501.0,401.0,501.0,401.0,501.0,501.0,301.0,501.0,500.0,501.0,,501.0,501.0,751.0,251.0,500.0,701.0,801.0,501.0,610.0,950.0,884.0,
Hertha Berlin,germany/bundesliga/german-bundesliga,501.0,501.0,251.0,351.0,251.0,401.0,251.0,301.0,1001.0,200.0,251.0,,501.0,501.0,1001.0,151.0,200.0,501.0,1251.0,401.0,275.0,390.0,356.0,
Nurnberg,germany/bundesliga/german-bundesliga,2001.0,751.0,751.0,501.0,751.0,501.0,1001.0,501.0,751.0,1000.0,1001.0,,751.0,751.0,1501.0,251.0,1000.0,1501.0,2501.0,1001.0,615.0,950.0,888.0,
Augsburg,germany/bundesliga/german-bundesliga,2001.0,2001.0,1251.0,1501.0,1251.0,1001.0,2501.0,501.0,1501.0,1000.0,2001.0,,1001.0,1501.0,2501.0,501.0,1000.0,2001.0,3001.0,1501.0,615.0,950.0,888.0,
Braunschweig,germany/bundesliga/german-bundesliga,3001.0,3001.0,5001.0,1501.0,5001.0,1501.0,5001.0,501.0,2001.0,3000.0,2501.0,,2501.0,2501.0,5001.0,2001.0,3000.0,3001.0,6001.0,5001.0,615.0,950.0,888.0,
Barcelona,spain/la-liga-primera/spanish-la-liga-primera,1.73,1.67,1.62,1.67,1.62,,1.57,1.67,1.62,1.67,1.62,1.73,1.67,1.62,1.62,1.65,1.67,1.68,1.73,1.65,1.81,1.81,1.79,
Real Madrid,spain/la-liga-primera/spanish-la-liga-primera,2.1,2.25,2.25,2.25,2.25,,2.38,2.25,2.25,2.2,2.25,2.25,2.2,2.25,2.25,2.2,2.2,2.2,2.25,2.25,2.19,2.22,2.2,
Atletico Madrid,spain/la-liga-primera/spanish-la-liga-primera,67.0,51.0,51.0,51.0,51.0,,67.0,51.0,67.0,40.0,51.0,51.0,1.36,51.0,51.0,26.0,40.0,67.0,67.0,51.0,30.0,38.0,31.0,
Valencia,spain/la-liga-primera/spanish-la-liga-primera,251.0,251.0,126.0,126.0,126.0,,151.0,101.0,101.0,250.0,301.0,251.0,9.0,201.0,201.0,251.0,250.0,301.0,301.0,151.0,148.0,485.0,182.0,
Real Sociedad,spain/la-liga-primera/spanish-la-liga-primera,401.0,401.0,301.0,301.0,301.0,,301.0,201.0,201.0,400.0,401.0,251.0,12.0,251.0,251.0,301.0,400.0,501.0,501.0,251.0,96.0,152.0,116.0,
Athl Bilbao,spain/la-liga-primera/spanish-la-liga-primera,501.0,501.0,401.0,401.0,401.0,,751.0,401.0,501.0,750.0,401.0,501.0,15.0,501.0,501.0,401.0,750.0,751.0,751.0,501.0,205.0,285.0,261.0,
Sevilla,spain/la-liga-primera/spanish-la-liga-primera,401.0,751.0,401.0,301.0,401.0,,501.0,201.0,301.0,1000.0,1001.0,501.0,26.0,251.0,301.0,501.0,1000.0,751.0,1251.0,,335.0,466.0,432.0,
Betis,spain/la-liga-primera/spanish-la-liga-primera,501.0,751.0,601.0,501.0,601.0,,751.0,501.0,501.0,1500.0,751.0,501.0,34.0,751.0,1001.0,1001.0,1500.0,1501.0,1501.0,501.0,365.0,504.0,470.0,
Espanyol,spain/la-liga-primera/spanish-la-liga-primera,1001.0,1001.0,751.0,,751.0,,1501.0,1001.0,1001.0,1500.0,1501.0,1001.0,41.0,,2001.0,1501.0,1500.0,2001.0,,1001.0,154.0,504.0,195.0,
Malaga,spain/la-liga-primera/spanish-la-liga-primera,501.0,751.0,751.0,301.0,751.0,,751.0,326.0,251.0,3000.0,2001.0,101.0,51.0,751.0,1001.0,501.0,3000.0,501.0,,2001.0,495.0,703.0,656.0,
Celta Vigo,spain/la-liga-primera/spanish-la-liga-primera,1501.0,2001.0,1501.0,,1501.0,,2001.0,1501.0,2001.0,2500.0,2501.0,2001.0,81.0,,2001.0,2001.0,2500.0,3001.0,,2001.0,154.0,228.0,195.0,
Villarreal,spain/la-liga-primera/spanish-la-liga-primera,1001.0,1001.0,1001.0,,1001.0,,1501.0,,3001.0,750.0,1001.0,2501.0,34.0,,1001.0,501.0,750.0,2001.0,,2501.0,200.0,285.0,252.0,
Getafe,spain/la-liga-primera/spanish-la-liga-primera,1251.0,2001.0,2001.0,,2001.0,,1501.0,1001.0,1501.0,3500.0,2001.0,2001.0,67.0,,2001.0,1251.0,3500.0,2501.0,,2001.0,154.0,228.0,195.0,
Valladolid,spain/la-liga-primera/spanish-la-liga-primera,3501.0,2501.0,2501.0,,2501.0,,2501.0,2501.0,3001.0,3000.0,3001.0,2001.0,201.0,,2001.0,2501.0,3000.0,3501.0,,2501.0,154.0,228.0,195.0,
Levante,spain/la-liga-primera/spanish-la-liga-primera,1501.0,2501.0,2501.0,,2501.0,,2001.0,2001.0,2501.0,4000.0,3001.0,2501.0,126.0,,2001.0,2001.0,4000.0,3501.0,,2501.0,154.0,228.0,195.0,
Granada,spain/la-liga-primera/spanish-la-liga-primera,5001.0,4001.0,3001.0,,3001.0,,2501.0,3001.0,3001.0,3000.0,4001.0,5001.0,101.0,,1001.0,4001.0,3000.0,5001.0,,2501.0,154.0,228.0,195.0,
Rayo Vallecano,spain/la-liga-primera/spanish-la-liga-primera,1001.0,2501.0,1501.0,,1501.0,,2501.0,1001.0,1501.0,4000.0,7501.0,2501.0,151.0,,2001.0,1501.0,4000.0,5001.0,,2501.0,154.0,228.0,195.0,
Osasuna,spain/la-liga-primera/spanish-la-liga-primera,3501.0,3001.0,3001.0,,3001.0,,2501.0,2501.0,3001.0,5000.0,7501.0,2001.0,251.0,,5001.0,2501.0,5000.0,5001.0,,5001.0,154.0,485.0,195.0,
Almeria,spain/la-liga-primera/spanish-la-liga-primera,7501.0,7501.0,7501.0,,7501.0,,7501.0,,,5000.0,9001.0,5001.0,401.0,,5001.0,5001.0,5000.0,8001.0,,,154.0,228.0,195.0,
Elche,spain/la-liga-primera/spanish-la-liga-primera,7501.0,7501.0,7501.0,,7501.0,,7501.0,5001.0,7501.0,5000.0,9001.0,5001.0,501.0,,5001.0,5001.0,5000.0,8001.0,,5001.0,154.0,228.0,195.0,
Man City,english/premier-league,3.0,3.0,2.88,3.0,2.88,3.0,2.75,2.88,2.75,2.9,2.8,2.88,2.88,2.75,3.0,3.0,2.9,2.85,2.88,3.0,3.05,3.04,3.04,
Chelsea,english/premier-league,3.0,3.0,2.88,3.1,2.88,3.0,3.25,3.0,3.0,3.0,2.88,3.0,3.0,3.0,2.88,3.1,3.0,3.0,3.0,3.2,3.35,3.38,3.33,
Man Utd,english/premier-league,5.0,5.0,5.0,5.0,5.0,4.33,5.0,4.5,4.5,5.0,4.5,5.0,4.33,5.0,4.75,5.0,5.0,5.0,4.5,5.0,4.9,4.99,4.89,
Liverpool,english/premier-league,12.0,13.0,13.0,12.0,13.0,13.0,11.0,13.0,13.0,12.0,13.0,11.0,13.0,12.0,13.0,10.0,12.0,13.0,13.0,11.0,10.5,10.5,11.0,
Arsenal,english/premier-league,13.0,13.0,15.0,13.0,15.0,13.0,15.0,13.0,13.0,14.0,15.0,12.0,13.0,13.0,13.0,13.0,14.0,14.0,13.0,13.0,12.0,12.9,12.9,
Tottenham,english/premier-league,23.0,21.0,21.0,19.0,21.0,21.0,21.0,21.0,23.0,21.0,21.0,23.0,21.0,21.0,21.0,23.0,21.0,23.0,21.0,21.0,20.0,22.0,21.0,
Everton,english/premier-league,501.0,1001.0,401.0,751.0,401.0,401.0,501.0,251.0,251.0,750.0,501.0,501.0,401.0,601.0,501.0,751.0,750.0,501.0,1001.0,401.0,430.0,599.0,570.0,
Southampton,english/premier-league,1501.0,1501.0,2001.0,2001.0,2001.0,1501.0,2001.0,2001.0,1501.0,1500.0,2001.0,2001.0,1001.0,1501.0,1001.0,2001.0,1500.0,2001.0,2001.0,2001.0,625.0,789.0,903.0,
Aston Villa,english/premier-league,1501.0,2001.0,2001.0,751.0,2001.0,1501.0,1001.0,2001.0,1501.0,2000.0,2001.0,2001.0,751.0,1501.0,1001.0,2001.0,2000.0,2001.0,2001.0,1501.0,660.0,950.0,950.0,
Swansea,english/premier-league,1501.0,1501.0,2001.0,1501.0,2001.0,2001.0,2001.0,1001.0,1001.0,1500.0,2501.0,2501.0,2001.0,1501.0,1001.0,2001.0,1500.0,2001.0,2501.0,2001.0,660.0,950.0,950.0,
Fulham,english/premier-league,2501.0,2001.0,2001.0,2001.0,2001.0,2001.0,2501.0,2001.0,1501.0,3000.0,3001.0,3001.0,3001.0,2001.0,2001.0,2501.0,3000.0,2001.0,3001.0,3001.0,660.0,950.0,950.0,
Newcastle,english/premier-league,1001.0,1001.0,2001.0,1001.0,2001.0,1501.0,2001.0,1001.0,2001.0,1500.0,2001.0,3001.0,1501.0,1501.0,2001.0,2001.0,1500.0,2001.0,2001.0,1501.0,660.0,950.0,950.0,
West Ham,english/premier-league,2501.0,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0,1501.0,2500.0,2501.0,2501.0,2001.0,2001.0,2001.0,2501.0,2500.0,2001.0,3001.0,3001.0,660.0,950.0,950.0,
West Brom,english/premier-league,3001.0,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0,1001.0,3000.0,3001.0,4001.0,2501.0,2001.0,2001.0,3001.0,3000.0,3001.0,3001.0,2001.0,660.0,950.0,950.0,
Norwich,english/premier-league,5001.0,3001.0,2501.0,,2501.0,5001.0,2501.0,5001.0,2501.0,5000.0,5001.0,4001.0,5001.0,2501.0,3001.0,5001.0,5000.0,4001.0,5001.0,4001.0,660.0,950.0,950.0,
Stoke,english/premier-league,2501.0,2001.0,2501.0,,2501.0,2001.0,3001.0,4001.0,1501.0,3000.0,5001.0,3001.0,4001.0,2501.0,3001.0,3001.0,3000.0,4001.0,5001.0,3001.0,660.0,950.0,950.0,
Sunderland,english/premier-league,5001.0,2001.0,2501.0,,2501.0,2001.0,3001.0,2501.0,1501.0,5000.0,5001.0,5001.0,3001.0,2501.0,3001.0,4001.0,5000.0,3001.0,5001.0,3001.0,660.0,950.0,950.0,
Cardiff,english/premier-league,5001.0,5001.0,5001.0,,5001.0,5001.0,5001.0,3001.0,5001.0,5000.0,7501.0,5001.0,5001.0,3501.0,3001.0,5001.0,5000.0,5001.0,7501.0,5001.0,660.0,950.0,950.0,
Hull,english/premier-league,5001.0,7501.0,5001.0,,5001.0,5001.0,7501.0,7501.0,5001.0,7500.0,7501.0,7501.0,7501.0,5001.0,5001.0,7501.0,7500.0,7501.0,7501.0,5001.0,660.0,950.0,950.0,
Crystal Palace,english/premier-league,10001.0,10001.0,7501.0,,7501.0,5001.0,10001.0,10001.0,5001.0,7500.0,10001.0,10001.0,10001.0,7501.0,7501.0,10001.0,7500.0,9999.0,15001.0,5001.0,660.0,950.0,950.0,
PSG,france/ligue-1/french-ligue-1,1.44,1.44,1.44,1.44,1.44,1.4,1.4,1.44,1.4,1.5,1.53,,1.4,1.44,1.4,1.4,1.5,1.43,1.5,1.5,1.45,1.47,1.46,
Monaco,france/ligue-1/french-ligue-1,3.25,3.5,3.5,3.4,3.5,3.4,3.25,3.25,3.5,3.0,3.1,,3.25,3.0,3.5,3.2,3.0,3.15,3.5,3.0,3.35,3.42,3.33,
Marseille,france/ligue-1/french-ligue-1,17.0,17.0,15.0,15.0,15.0,17.0,15.0,15.0,17.0,15.0,15.0,,15.0,15.0,17.0,16.0,15.0,18.0,19.0,15.0,43.0,48.0,46.0,
Lyon,france/ligue-1/french-ligue-1,41.0,34.0,34.0,34.0,34.0,34.0,26.0,41.0,34.0,40.0,26.0,,26.0,34.0,41.0,41.0,40.0,41.0,41.0,34.0,60.0,71.0,67.0,
Lille,france/ligue-1/french-ligue-1,51.0,41.0,41.0,41.0,41.0,34.0,41.0,41.0,51.0,50.0,51.0,,41.0,41.0,51.0,51.0,50.0,51.0,51.0,41.0,18.0,36.0,18.6,
St Etienne,france/ligue-1/french-ligue-1,51.0,67.0,67.0,67.0,67.0,67.0,51.0,67.0,81.0,80.0,81.0,,67.0,67.0,67.0,81.0,80.0,101.0,101.0,67.0,60.0,71.0,67.0,
Rennes,france/ligue-1/french-ligue-1,151.0,151.0,151.0,151.0,151.0,201.0,201.0,151.0,201.0,250.0,251.0,,151.0,201.0,251.0,251.0,250.0,251.0,251.0,151.0,64.0,81.0,72.0,
Bordeaux,france/ligue-1/french-ligue-1,201.0,251.0,151.0,251.0,151.0,201.0,201.0,251.0,201.0,250.0,201.0,,201.0,201.0,251.0,251.0,250.0,251.0,251.0,201.0,134.0,171.0,165.0,
Nice,france/ligue-1/french-ligue-1,201.0,201.0,201.0,201.0,201.0,151.0,151.0,201.0,151.0,300.0,301.0,,251.0,201.0,301.0,301.0,300.0,301.0,301.0,251.0,37.0,42.0,40.0,
Toulouse,france/ligue-1/french-ligue-1,401.0,401.0,401.0,401.0,401.0,301.0,501.0,401.0,401.0,500.0,501.0,,501.0,351.0,501.0,501.0,500.0,501.0,,401.0,64.0,76.0,72.0,
Lorient,france/ligue-1/french-ligue-1,301.0,401.0,301.0,301.0,301.0,301.0,251.0,301.0,251.0,500.0,501.0,,301.0,351.0,501.0,501.0,500.0,501.0,,301.0,68.0,81.0,76.0,
Montpellier,france/ligue-1/french-ligue-1,251.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,301.0,500.0,301.0,,251.0,351.0,251.0,451.0,500.0,401.0,501.0,251.0,98.0,124.0,118.0,
Bastia,france/ligue-1/french-ligue-1,501.0,751.0,601.0,,601.0,501.0,751.0,501.0,501.0,1000.0,1001.0,,751.0,751.0,1001.0,1001.0,1000.0,1001.0,,751.0,64.0,76.0,72.0,
Reims,france/ligue-1/french-ligue-1,401.0,751.0,601.0,,601.0,751.0,1001.0,501.0,1001.0,750.0,1001.0,,1001.0,751.0,1001.0,751.0,750.0,1001.0,,751.0,64.0,76.0,72.0,
Sochaux,france/ligue-1/french-ligue-1,751.0,751.0,801.0,,801.0,751.0,1001.0,501.0,1001.0,1000.0,1001.0,,1001.0,751.0,1001.0,1001.0,1000.0,1001.0,,751.0,64.0,76.0,72.0,
Valenciennes,france/ligue-1/french-ligue-1,1001.0,751.0,801.0,,801.0,501.0,251.0,501.0,501.0,1000.0,1001.0,,751.0,501.0,1001.0,1001.0,1000.0,1001.0,,751.0,64.0,76.0,72.0,
Ajaccio,france/ligue-1/french-ligue-1,751.0,1001.0,801.0,,801.0,1001.0,1001.0,501.0,1001.0,1000.0,1501.0,,1501.0,751.0,1501.0,1001.0,1000.0,1501.0,,1001.0,64.0,76.0,72.0,
Evian,france/ligue-1/french-ligue-1,1001.0,1001.0,1001.0,,1001.0,751.0,1001.0,501.0,1001.0,1000.0,1501.0,,1001.0,751.0,1501.0,1001.0,1000.0,1501.0,,1001.0,64.0,76.0,72.0,
Guingamp,france/ligue-1/french-ligue-1,1251.0,1001.0,1001.0,,1001.0,1001.0,1501.0,501.0,1001.0,1500.0,2001.0,,1501.0,1001.0,2001.0,1501.0,1500.0,2001.0,,1501.0,64.0,76.0,72.0,
Nantes,france/ligue-1/french-ligue-1,751.0,1251.0,1251.0,,1251.0,,1001.0,501.0,1001.0,1500.0,2001.0,,1501.0,751.0,2001.0,1501.0,1500.0,2001.0,,1501.0,64.0,76.0,72.0,
