name,division,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Oakland Raiders,AFC West,101.0,101.0,81.0,101.0,,101.0,81.0,151.0,101.0,75.0,126.0,126.0,,81.0,151.0,81.0,75.0,81.0,126.0,,1.01,,
Dallas Cowboys,NFC East,2.15,2.0,2.1,2.1,,2.1,2.1,2.1,2.1,,2.1,2.1,2.1,2.1,2.1,2.0,,2.1,2.15,,1.81,,
Philadelphia Eagles,NFC East,2.62,3.0,3.0,3.0,,2.75,3.0,3.0,2.88,,3.0,3.2,3.0,2.6,2.88,2.75,,2.75,2.75,,3.14,,
Washington Redskins,NFC East,4.33,4.0,3.75,4.0,,3.8,3.75,3.4,3.75,,3.75,3.75,3.75,3.75,4.0,4.5,,4.0,4.0,,4.61,,
New York Giants,NFC East,41.0,41.0,34.0,34.0,,34.0,26.0,34.0,29.0,,34.0,34.0,34.0,26.0,21.0,41.0,,41.0,34.0,,32.0,,
Green Bay Packers,NFC North,2.0,1.83,1.8,1.91,,1.83,1.83,1.73,1.91,,1.91,1.91,1.91,1.83,1.83,1.95,,1.91,1.85,,1.81,,
Chicago Bears,NFC North,3.0,3.25,3.5,3.5,,3.2,3.25,3.6,3.2,,3.25,3.5,3.25,3.1,3.75,3.0,,3.2,3.3,,3.28,,
Detroit Lions,NFC North,4.33,4.5,4.5,4.2,,4.0,4.5,4.33,4.0,,4.5,4.5,4.2,4.0,3.75,4.0,,4.33,4.3,,4.42,,
Minnesota Vikings,NFC North,23.0,23.0,26.0,26.0,,26.0,23.0,21.0,23.0,,21.0,19.0,26.0,23.0,34.0,21.0,,23.0,26.0,,25.0,,
New Orleans Saints,NFC South,1.03,1.06,1.06,1.04,,1.04,1.05,1.08,1.03,1.05,1.04,1.06,1.07,1.03,1.07,1.03,1.05,1.06,1.05,,1.08,,
Atlanta Falcons,NFC South,17.0,13.0,11.0,11.0,,9.0,11.0,8.0,13.0,9.0,13.0,9.0,10.0,9.0,15.0,11.0,9.0,10.0,13.0,,20.0,,
Carolina Panthers,NFC South,15.0,17.0,17.0,17.0,,15.0,17.0,15.0,15.0,15.0,17.0,19.0,17.0,16.0,13.0,17.0,15.0,17.0,17.0,,16.2,,
Tampa Bay Buccaneers,NFC South,101.0,81.0,101.0,81.0,,81.0,81.0,91.0,101.0,80.0,101.0,101.0,67.0,81.0,401.0,81.0,80.0,101.0,81.0,,133.0,,
Seattle Seahawks,NFC West,1.44,1.5,1.5,1.5,,1.44,1.44,1.53,1.4,1.4,1.44,1.4,1.53,1.4,1.44,1.5,1.4,1.44,1.45,,1.41,,
San Francisco 49ers,NFC West,2.87,2.75,2.62,2.5,,2.75,2.75,2.5,2.75,2.5,2.75,2.75,2.5,2.75,2.88,2.5,2.5,2.75,2.75,,3.42,,
Arizona Cardinals,NFC West,23.0,29.0,29.0,29.0,,29.0,34.0,34.0,34.0,28.0,34.0,34.0,34.0,26.0,34.0,23.0,28.0,34.0,34.0,,15.3,,
St Louis Rams,NFC West,51.0,51.0,51.0,51.0,,51.0,51.0,51.0,51.0,50.0,51.0,51.0,51.0,51.0,29.0,41.0,50.0,51.0,51.0,,8.79,,
