name,division,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,188Bet,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Kansas City Chiefs,AFC West,5.0,5.5,5.5,5.5,,5.0,6.0,5.0,5.5,5.0,5.5,5.0,5.0,,,5.0,5.0,,5.5,,,5.37,,
San Diego Chargers,AFC West,29.0,26.0,29.0,26.0,,26.0,26.0,26.0,29.0,25.0,34.0,26.0,26.0,,,26.0,25.0,,29.0,,,19.0,,
Oakland Raiders,AFC West,81.0,101.0,81.0,101.0,,101.0,81.0,151.0,101.0,75.0,126.0,126.0,101.0,,,81.0,75.0,,81.0,,,19.0,,
Dallas Cowboys,NFC East,2.1,2.0,2.1,2.15,,2.2,2.1,2.1,2.1,2.2,2.2,2.25,2.2,,,2.15,2.2,,2.1,2.2,,1.72,,
Philadelphia Eagles,NFC East,3.0,3.5,3.4,3.2,,3.4,3.4,3.4,3.5,3.0,3.5,3.5,3.25,,,3.25,3.0,,3.5,3.5,,2.35,,
Washington Redskins,NFC East,4.0,4.0,3.75,3.75,,3.5,3.75,3.4,3.6,3.5,3.5,3.5,3.75,,,3.6,3.5,,3.5,3.5,,4.14,,
New York Giants,NFC East,17.0,15.0,13.0,13.0,,11.0,13.0,15.0,12.0,12.0,13.0,13.0,13.0,,,12.0,12.0,,13.0,12.0,,30.0,,
Green Bay Packers,NFC North,1.8,1.8,1.73,1.73,,1.73,1.67,1.83,1.73,1.8,1.8,1.91,1.73,,,1.75,1.8,,1.8,1.75,,1.82,,
Chicago Bears,NFC North,3.75,3.75,3.75,3.75,,3.75,4.0,3.4,3.75,3.5,3.75,3.5,3.75,,,3.6,3.5,,3.75,3.75,,3.47,,
Detroit Lions,NFC North,4.33,4.5,4.5,4.33,,4.33,4.5,4.33,4.33,4.25,4.5,4.5,4.5,,,4.25,4.25,,4.33,4.5,,,,
Minnesota Vikings,NFC North,21.0,23.0,21.0,21.0,,21.0,23.0,21.0,21.0,20.0,17.0,19.0,26.0,,,21.0,20.0,,23.0,21.0,,20.0,,
New Orleans Saints,NFC South,1.08,1.11,1.1,1.08,,1.08,1.12,1.08,1.08,1.1,1.1,1.08,1.12,,,1.1,1.1,,1.08,,,,,
Atlanta Falcons,NFC South,8.5,8.5,8.0,8.0,,7.5,7.0,8.0,7.5,7.5,7.0,7.0,7.0,,,7.0,7.5,,7.5,,,1.86,,
Carolina Panthers,NFC South,17.0,17.0,17.0,17.0,,15.0,15.0,15.0,17.0,15.0,21.0,21.0,17.0,,,15.0,15.0,,17.0,,,5.18,,
Tampa Bay Buccaneers,NFC South,81.0,81.0,81.0,81.0,,81.0,67.0,91.0,101.0,80.0,101.0,81.0,67.0,,,81.0,80.0,,81.0,,,9.55,,
Seattle Seahawks,NFC West,1.5,1.5,1.5,1.5,,1.44,1.44,1.53,1.4,1.4,1.44,1.4,1.53,,,1.5,1.4,,1.44,,,1.4,,
San Francisco 49ers,NFC West,2.75,2.75,2.5,2.5,,2.75,2.75,2.5,2.75,2.5,2.75,2.75,2.5,,,2.5,2.5,,2.75,,,3.04,,
Arizona Cardinals,NFC West,26.0,29.0,29.0,29.0,,29.0,34.0,34.0,34.0,28.0,34.0,34.0,34.0,,,23.0,28.0,,34.0,,,36.0,,
St Louis Rams,NFC West,51.0,51.0,51.0,51.0,,51.0,51.0,51.0,51.0,50.0,51.0,51.0,51.0,,,41.0,50.0,,51.0,,,8.79,,
