name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,188Bet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Apollon Limassol,j,11.0,11.0,,11.0,11.0,,9.0,11.0,17.0,11.0,12.0,,,10.0,,11.0,11.0,12.0,,11.0,,10.5,,
Legia Warsaw,j,51.0,51.0,,26.0,34.0,,51.0,56.0,34.0,40.0,26.0,,,51.0,,41.0,40.0,51.0,,51.0,,48.0,,
Tottenham,k,1.02,1.02,,1.03,1.02,,1.02,1.02,1.02,1.02,1.01,,1.03,1.01,,1.02,1.02,1.02,,1.02,,1.02,,
Anzhi Makhachkala,k,21.0,17.0,,19.0,13.0,,15.0,21.0,13.0,18.0,21.0,,15.0,19.0,,15.0,18.0,19.0,,17.0,,19.0,,
FC Sheriff,k,34.0,41.0,,41.0,34.0,,41.0,46.0,21.0,25.0,51.0,,34.0,34.0,,34.0,25.0,34.0,,34.0,,48.0,,
Tromso,k,67.0,67.0,,67.0,67.0,,67.0,71.0,81.0,40.0,67.0,,41.0,67.0,,41.0,40.0,67.0,,67.0,,48.0,,
AZ Alkmaar,l,1.67,1.67,,1.73,1.67,,1.67,1.73,1.8,1.65,1.73,,,1.67,,1.65,1.65,1.65,,1.7,,1.66,,
PAOK Saloniki,l,2.38,2.38,,2.25,2.38,,2.25,2.2,2.1,2.35,2.25,,,2.25,,2.3,2.35,2.35,,2.35,,1.95,,
Maccabi Haifa,l,21.0,21.0,,17.0,21.0,,26.0,26.0,21.0,25.0,15.0,,,23.0,,25.0,25.0,23.0,,26.0,,19.0,,
Shakhter Karagandy,l,34.0,26.0,,26.0,29.0,,26.0,26.0,26.0,30.0,41.0,,,34.0,,34.0,30.0,34.0,,26.0,,30.0,,
