name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Bwin,Unibet,You Win,Betway,32Red Bet,Betfair,Betdaq,Sporting Index
Wigan,d,5.0,5.0,,5.0,5.5,,5.5,5.5,4.5,5.25,5.5,4.5,5.5,5.5,,5.5,5.25,5.0,5.5,,,,
Maribor,d,51.0,41.0,,41.0,51.0,,51.0,41.0,51.0,55.0,29.0,41.0,51.0,41.0,,41.0,55.0,51.0,51.0,,,,
Zulte Waregem,d,67.0,51.0,,41.0,51.0,,51.0,41.0,81.0,55.0,81.0,51.0,51.0,51.0,,51.0,55.0,67.0,51.0,,,,
Fiorentina,e,1.1,1.1,,1.1,1.11,,1.08,1.11,1.11,1.09,1.12,1.1,1.1,1.08,,1.07,1.09,1.1,1.1,,,,
Dnipro,e,7.0,6.5,,7.0,6.5,,7.0,6.0,5.5,6.5,5.0,6.0,7.0,6.5,,6.5,6.5,7.0,6.0,,,,
Pacos Ferreira,e,101.0,81.0,,101.0,101.0,,101.0,81.0,81.0,80.0,201.0,126.0,81.0,81.0,,101.0,80.0,101.0,81.0,,,,
Pandurii,e,151.0,126.0,,101.0,101.0,,101.0,81.0,151.0,125.0,201.0,251.0,101.0,151.0,,151.0,125.0,151.0,101.0,,,,
Eintracht Frankfurt,f,1.06,1.06,,1.07,1.07,,1.05,1.07,1.05,1.07,1.06,1.06,1.07,1.05,,1.06,1.07,1.06,1.12,,,,
Maccabi Tel Aviv,f,11.0,13.0,,11.0,13.0,,13.0,11.0,11.0,12.0,11.0,12.0,13.0,11.0,,11.0,12.0,11.0,9.0,,,,
Bordeaux,f,17.0,13.0,,15.0,15.0,,15.0,15.0,17.0,15.0,23.0,15.0,15.0,15.0,,13.0,15.0,17.0,15.0,,,,
APOEL Nicosia,f,151.0,101.0,,101.0,151.0,,101.0,126.0,81.0,125.0,101.0,101.0,126.0,101.0,,67.0,125.0,151.0,41.0,,,,
Genk,g,1.62,1.62,,1.62,1.62,,1.57,1.62,1.53,1.6,1.67,1.53,1.62,1.6,,1.55,1.6,1.62,1.65,,,,
Dynamo Kiev,g,2.5,2.38,,2.5,2.5,,2.62,2.5,2.5,2.5,2.75,2.62,2.38,2.5,,2.5,2.5,2.5,2.6,,,,
Thun,g,21.0,19.0,,17.0,17.0,,15.0,17.0,29.0,20.0,10.0,15.0,19.0,17.0,,21.0,20.0,21.0,15.0,,,,
Rapid Vienna,g,41.0,34.0,,34.0,34.0,,34.0,34.0,41.0,40.0,19.0,34.0,34.0,34.0,,41.0,40.0,41.0,26.0,,,,
Sevilla,h,1.2,1.2,,1.18,1.2,,1.17,1.2,1.2,1.15,1.12,1.17,1.18,1.18,,1.17,1.15,1.2,1.2,,,,
Slovan Liberec,h,5.0,4.5,,5.0,5.0,,5.0,5.0,5.0,5.0,5.5,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,,,,
Freiburg,h,21.0,21.0,,21.0,21.0,,26.0,17.0,13.0,20.0,23.0,17.0,21.0,21.0,,21.0,20.0,21.0,21.0,,,,
Estoril,h,101.0,101.0,,101.0,101.0,,251.0,101.0,67.0,100.0,101.0,126.0,101.0,101.0,,101.0,100.0,101.0,101.0,,,,
Betis,i,2.38,2.3,,2.3,2.25,,2.25,2.25,2.1,,2.2,2.25,2.3,2.25,,2.3,,2.38,2.3,,,,
Lyon,i,2.38,2.3,,2.3,2.2,,2.25,2.25,2.38,,2.3,2.3,2.3,2.25,,2.3,,2.38,2.3,,,,
Guimaraes,i,3.75,4.33,,4.33,5.0,,4.5,4.5,5.0,,4.5,4.5,4.33,4.5,,4.25,,3.75,4.5,,,,
Rijeka,i,101.0,101.0,,67.0,101.0,,151.0,67.0,81.0,,101.0,67.0,67.0,126.0,,101.0,,101.0,126.0,,,,
Lazio,j,1.67,1.73,,1.73,1.73,,1.8,1.8,1.73,1.67,1.67,1.73,1.8,1.75,,1.7,1.67,1.67,1.85,,,,
Trabzonspor,j,2.5,2.38,,2.5,2.5,,2.25,2.3,2.2,2.5,2.3,2.3,2.25,2.35,,2.35,2.5,2.5,2.35,,,,
Apollon Limassol,j,10.0,9.0,,8.5,10.0,,9.0,12.0,13.0,10.0,13.0,10.0,10.0,9.5,,10.0,10.0,10.0,8.0,,,,
Legia Warsaw,j,101.0,126.0,,81.0,101.0,,201.0,151.0,201.0,100.0,201.0,101.0,67.0,101.0,,81.0,100.0,101.0,126.0,,,,
Tottenham,k,1.01,1.01,,1.01,1.01,,1.01,1.01,,1.01,1.0,1.0,1.02,1.01,,1.01,1.01,,1.01,,,,
Anzhi Makhachkala,k,17.0,17.0,,19.0,17.0,,17.0,21.0,,14.0,19.0,17.0,15.0,15.0,,18.0,14.0,17.0,17.0,,1.95,,
FC Sheriff,k,151.0,126.0,,67.0,101.0,,101.0,67.0,,150.0,101.0,101.0,51.0,81.0,,81.0,150.0,151.0,67.0,,1.95,,
Tromso,k,201.0,151.0,,201.0,151.0,,151.0,101.0,,200.0,201.0,201.0,81.0,151.0,,151.0,200.0,201.0,151.0,,1.95,,
PAOK Saloniki,l,1.73,1.67,,1.67,1.8,,1.57,1.67,1.73,1.65,1.67,1.62,1.67,1.6,,1.6,1.65,1.73,1.8,,,,
AZ Alkmaar,l,2.1,2.2,,2.2,2.2,,2.38,2.3,2.05,2.25,2.25,2.2,2.25,2.2,,2.3,2.25,2.1,2.2,,,,
Shakhter Karagandy,l,34.0,29.0,,26.0,26.0,,26.0,26.0,41.0,32.0,51.0,51.0,26.0,34.0,,34.0,32.0,34.0,21.0,,,,
Maccabi Haifa,l,67.0,51.0,,41.0,26.0,,67.0,41.0,81.0,55.0,29.0,34.0,41.0,67.0,,51.0,55.0,67.0,41.0,,,,
