name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Betfair,Betdaq,Matchbook
swansea,England,1501.0,2001.0,1001.0,1501.0,1001.0,1501.0,1001.0,1001.0,1001.0,1501.0,3001.0,1501.0,3001.0,1001.0,1001.0,1501.0,,1001.0,1501.0,1501.0,1501.0,1001.0,950.0,931.0,496.0
aston villa,England,2001.0,2501.0,1501.0,2001.0,1501.0,2001.0,3001.0,2001.0,1001.0,2501.0,5001.0,2001.0,5001.0,2001.0,2001.0,1501.0,,2001.0,2501.0,2001.0,2501.0,2006.0,950.0,931.0,496.0
leicester,England,1501.0,2501.0,2001.0,2001.0,2001.0,2001.0,2001.0,2501.0,1001.0,2501.0,5001.0,2001.0,2501.0,2001.0,2501.0,2001.0,,2001.0,2501.0,1501.0,2501.0,1501.0,950.0,931.0,496.0
newcastle,England,2501.0,5001.0,1001.0,2001.0,1001.0,1501.0,2501.0,1501.0,1001.0,2501.0,5001.0,2001.0,3001.0,2001.0,1501.0,1001.0,,2001.0,2501.0,2001.0,2501.0,2511.0,950.0,931.0,496.0
sunderland,England,5001.0,5001.0,2001.0,4001.0,2001.0,2001.0,5001.0,4001.0,1001.0,5001.0,5001.0,5001.0,1001.0,4001.0,2501.0,3001.0,,4001.0,5001.0,5001.0,5001.0,5001.0,950.0,931.0,496.0
west brom,England,2001.0,2501.0,2001.0,2001.0,2001.0,2001.0,2501.0,2001.0,1001.0,2501.0,5001.0,2001.0,5001.0,2501.0,2001.0,2001.0,,2501.0,2501.0,2001.0,2501.0,2006.0,950.0,931.0,496.0
bournemouth,England,7501.0,5001.0,2501.0,3001.0,2501.0,5001.0,5001.0,5001.0,1001.0,5001.0,7501.0,5001.0,1001.0,5001.0,2501.0,5001.0,,5001.0,5001.0,5001.0,5001.0,7551.0,950.0,931.0,496.0
norwich,England,7501.0,5001.0,2001.0,5001.0,2001.0,5001.0,5001.0,5001.0,1001.0,5001.0,7501.0,5001.0,1001.0,7501.0,2501.0,7501.0,,7501.0,5001.0,5001.0,5001.0,7551.0,950.0,931.0,496.0
watford,England,7501.0,5001.0,5001.0,5001.0,5001.0,5001.0,4001.0,5001.0,1001.0,5001.0,10001.0,5001.0,7501.0,751.0,2501.0,5001.0,,751.0,5001.0,5001.0,5001.0,7551.0,950.0,931.0,496.0
psg,France,,,1.13,,1.13,1.1,1.1,1.12,1.14,1.12,,,,,,,,,1.12,,1.12,1.14,,1.1,
