name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Granada,Spain,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0
Levante,Spain,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0
Malaga,Spain,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0
Osasuna,Spain,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0
Rayo Vallecano,Spain,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0
Valladolid,Spain,,,,,,,,,,,,,,,,,,,,565.0,950.0,766.0
Man City,England,1.67,1.67,1.67,1.7,1.67,,1.67,1.67,1.67,1.65,1.62,1.62,1.62,1.62,1.62,1.7,1.65,1.65,1.7,1.69,1.67,1.69
Chelsea,England,4.5,4.33,4.33,4.33,4.33,,4.33,4.33,4.0,4.3,4.33,4.33,4.33,4.33,4.33,4.0,4.5,4.3,4.33,4.7,4.8,4.78
Arsenal,England,5.5,6.0,6.0,6.0,6.0,,6.0,5.5,6.0,6.0,6.0,6.5,6.0,6.0,5.5,6.0,6.0,6.0,6.0,6.2,6.32,6.43
Liverpool,England,15.0,15.0,13.0,13.0,13.0,,15.0,15.0,15.0,15.0,15.0,13.0,13.0,15.0,15.0,13.0,15.0,15.0,13.0,15.5,16.2,16.5
Man Utd,England,151.0,151.0,151.0,151.0,151.0,,126.0,101.0,101.0,150.0,151.0,151.0,126.0,126.0,151.0,201.0,151.0,150.0,151.0,190.0,238.0,243.0
Tottenham,England,101.0,151.0,151.0,151.0,151.0,,151.0,126.0,126.0,200.0,201.0,201.0,126.0,151.0,151.0,201.0,201.0,200.0,201.0,295.0,380.0,388.0
Everton,England,201.0,201.0,151.0,251.0,151.0,,201.0,176.0,151.0,250.0,251.0,251.0,201.0,201.0,201.0,251.0,201.0,250.0,201.0,255.0,333.0,340.0
Aston Villa,England,,,,,,,,,,,,,,,,,,,,660.0,950.0,970.0
Cardiff,England,,,,,,,,,,,,,,,,,,,,660.0,950.0,970.0
Crystal Palace,England,,,,,,,,,,,,,,,,,,,,660.0,950.0,970.0
Fulham,England,,,,,,,,,,,,,,,,,,,,660.0,950.0,970.0
Hull,England,,,,,,,,,,,,,,,,,,,,660.0,950.0,970.0
Newcastle,England,,,,,,,,,,,,,,,,,,,,660.0,950.0,970.0
Norwich,England,,,,,,,,,,,,,,,,,,,,660.0,950.0,970.0
Southampton,England,,,,,,,,,,,,,,,,,,,,660.0,950.0,970.0
Stoke,England,,,,,,,,,,,,,,,,,,,,660.0,950.0,970.0
Sunderland,England,,,,,,,,,,,,,,,,,,,,660.0,950.0,970.0
Swansea,England,,,,,,,,,,,,,,,,,,,,660.0,950.0,970.0
West Brom,England,,,,,,,,,,,,,,,,,,,,660.0,950.0,970.0
West Ham,England,,,,,,,,,,,,,,,,,,,,660.0,950.0,970.0
PSG,France,,1.06,,,1.08,,1.04,1.05,,1.05,,,,1.05,,,,1.05,,,1.05,
Monaco,France,,8.0,,,7.0,,10.0,8.0,,9.0,,,,9.0,,,,9.0,,,5.56,4.49
Lille,France,,101.0,,,81.0,,67.0,101.0,,100.0,,,,101.0,,,,100.0,,9.0,13.4,11.2
St Etienne,France,,201.0,,,,,,201.0,,,,,,251.0,,,,,,72.0,95.0,82.0
Lyon,France,,,,,,,,501.0,,,,,,,,,,,,58.0,76.0,64.0
Marseille,France,,,,,,,,501.0,,,,,,501.0,,,,,,96.0,133.0,116.0
Nice,France,,,,,,,,,,,,,,,,,,,,38.0,52.0,42.0
Ajaccio,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0
Bastia,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0
Bordeaux,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0
Evian,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0
Guingamp,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0
Lorient,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0
Montpellier,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0
Nantes,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0
Reims,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0
Rennes,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0
Sochaux,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0
Toulouse,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0
Valenciennes,France,,,,,,,,,,,,,,,,,,,,88.0,124.0,109.0
Juventus,Italy,,1.1,,,1.13,,1.1,1.12,,,1.08,,,1.1,,,,,,,1.19,
Roma,Italy,,7.0,,,6.0,,7.0,6.0,,,7.5,,,6.5,,,,,,,6.32,
Napoli,Italy,,23.0,,,21.0,,17.0,21.0,,,26.0,,,26.0,,,,,,,24.0,
Fiorentina,Italy,,81.0,,,81.0,,67.0,101.0,,,101.0,,,81.0,,,,,,,57.0,
Inter,Italy,,251.0,,,,,251.0,501.0,,,1001.0,,,501.0,,,,,,,950.0,
AC Milan,Italy,,501.0,,,,,,501.0,,,2501.0,,,751.0,,,,,,,105.0,
Verona,Italy,,,,,,,,,,,2501.0,,,,,,,,,,485.0,
Atalanta,Italy,,,,,,,,,,,,,,,,,,,,,950.0,
Bologna,Italy,,,,,,,,,,,,,,,,,,,,,950.0,
Cagliari,Italy,,,,,,,,,,,,,,,,,,,,,950.0,
Catania,Italy,,,,,,,,,,,,,,,,,,,,,950.0,
Chievo,Italy,,,,,,,,,,,,,,,,,,,,,950.0,
Genoa,Italy,,,,,,,,,,,,,,,,,,,,,950.0,
Lazio,Italy,,,,,,,,,,,,,,,,,,,,,950.0,
Livorno,Italy,,,,,,,,,,,,,,,,,,,,,950.0,
Parma,Italy,,,,,,,,,,,,,,,,,,,,,950.0,
Sampdoria,Italy,,,,,,,,,,,,,,,,,,,,,950.0,
Sassuolo,Italy,,,,,,,,,,,,,,,,,,,,,950.0,
Torino,Italy,,,,,,,,,,,,,,,,,,,,,950.0,
Udinese,Italy,,,,,,,,,,,,,,,,,,,,,950.0,
Celtic,Scotland,,,,,,,,1.0,,,,,,,,,,,,,,
Aberdeen,Scotland,,,,,,,,101.0,,,,,,,,,,,,56.0,143.0,62.0
Motherwell,Scotland,,,,,,,,101.0,,,,,,,,,,,,118.0,181.0,147.0
Inverness,Scotland,,,,,,,,176.0,,,,,,,,,,,,36.0,114.0,40.0
