name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
atletico madrid,Spain,81.0,41.0,41.0,81.0,41.0,41.0,41.0,34.0,41.0,67.0,101.0,,67.0,51.0,,101.0,41.0,,51.0,67.0,41.0,67.0,40.0,44.0,
valencia,Spain,151.0,,151.0,126.0,151.0,151.0,,101.0,,101.0,151.0,,101.0,,,151.0,151.0,,,101.0,101.0,101.0,114.0,161.0,
seville,Spain,1001.0,,,,,1001.0,,501.0,,1001.0,,,,,,,,,,1001.0,,1001.0,618.0,858.0,
celta vigo,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,950.0,858.0,
eibar,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,,
elche,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,,
getafe,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,,
rayo vallecano,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,950.0,858.0,
real sociedad,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,950.0,858.0,
almeria,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,,
cordoba,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,,
deportivo la coruna,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,,
granada,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,,
levante,Spain,,,,,,,,1001.0,,,,,,,,,,,,,,,,,
villarreal,Spain,2501.0,,,,,,,501.0,,2501.0,,,,,,,,,,2501.0,,2501.0,950.0,858.0,
athletic bilbao,Spain,10001.0,,,,,,,1001.0,,,,,,,,,,,,,,,285.0,858.0,
malaga,Spain,10001.0,,,,,,,1001.0,,5001.0,,,,,,,,,,5001.0,,5001.0,380.0,858.0,
espanyol,Spain,20001.0,,,,,,,1001.0,,,,,,,,,,,,,,,950.0,858.0,
chelsea,England,1.07,1.08,,1.06,1.08,1.07,1.1,1.08,1.07,1.08,1.07,1.08,1.08,1.08,1.08,1.08,1.08,,1.08,1.08,,1.08,1.1,1.11,1.1
man city,England,13.0,15.0,,15.0,13.0,15.0,12.0,18.0,13.0,15.0,13.0,15.0,13.0,15.0,15.0,15.0,15.0,,15.0,15.0,,15.0,19.0,18.5,19.8
arsenal,England,23.0,26.0,,23.0,21.0,21.0,21.0,21.0,26.0,23.0,26.0,21.0,21.0,21.0,23.0,23.0,21.0,,21.0,23.0,,23.0,24.0,24.0,26.0
man utd,England,101.0,101.0,,81.0,67.0,101.0,81.0,81.0,67.0,101.0,101.0,101.0,81.0,81.0,81.0,151.0,101.0,,81.0,101.0,,101.0,90.0,89.0,100.0
liverpool,England,151.0,126.0,,126.0,126.0,126.0,126.0,151.0,126.0,101.0,151.0,101.0,101.0,101.0,,101.0,126.0,,101.0,101.0,,101.0,171.0,171.0,199.0
southampton,England,1001.0,501.0,,501.0,,1001.0,476.0,501.0,501.0,1001.0,1001.0,501.0,,,,501.0,1001.0,,,1001.0,,1001.0,950.0,970.0,298.0
tottenham,England,1001.0,501.0,,501.0,,501.0,476.0,501.0,501.0,1001.0,1001.0,1001.0,,,,501.0,751.0,,,1001.0,,1001.0,950.0,970.0,298.0
stoke,England,7501.0,,,,,,,,,,,,,,,,,,,,,,950.0,970.0,298.0
swansea,England,7501.0,,,,,,,,,,,,,,,,,,,,,,950.0,970.0,
everton,England,,,,,,,,,,,,,,,,,,,,,,,,,298.0
west ham,England,10001.0,,,,,,,1501.0,,,,,,,,,,,,,,,950.0,970.0,
psg,France,1.29,1.29,,1.3,,1.28,1.33,1.36,1.29,1.38,1.36,,1.29,1.29,,1.33,1.33,,1.29,1.38,1.33,1.38,1.41,1.1,
lyon,France,4.0,3.5,,3.6,,3.6,3.75,3.75,3.6,3.5,3.4,,4.0,3.6,,3.5,3.5,,3.6,3.5,3.75,3.5,3.61,3.52,
marseille,France,17.0,21.0,,15.0,,15.0,13.0,15.0,17.0,17.0,17.0,,21.0,15.0,,15.0,15.0,,15.0,17.0,17.0,17.0,8.03,7.4,
