name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bwin,Unibet,You Win,32Red Bet,Betfair,Betdaq,Matchbook
Den Haag,Holland,,,,,,,,,,,,,,,,,,,,,,4.8,,
Go Ahead Eagles,Holland,,,,,,,,,,,,,,,,,,,,,,4.8,,
Groningen,Holland,,,,,,,,,,,,,,,,,,,,,,4.8,,
Heracles,Holland,,,,,,,,,,,,,,,,,,,,,,4.8,,
NAC Breda,Holland,,,,,,,,,,,,,,,,,,,,,,4.8,,
NEC Nijmegen,Holland,,,,,,,,,,,,,,,,,,,,,,4.8,,
Roda,Holland,,,,,,,,,,,,,,,,,,,,,,4.8,,
Utrecht,Holland,,,,,,,,,,,,,,,,,,,,,,4.8,,
Waalwijk,Holland,,,,,,,,,,,,,,,,,,,,,,4.8,,
Zwolle,Holland,,,,,,,,,,,,,,,,,,,,,,4.8,,
AZ Alkmaar,Holland,,,,,,,,,,,,,,,,,,,,,,200.0,,
Heerenveen,Holland,,,,,,,,,,,,,,,,,,,,,,200.0,,
Benfica,Portugal,1.11,1.12,,1.11,,,1.14,1.11,,,,,1.1,,,1.12,,1.05,,,,1.21,,
Sporting Lisbon,Portugal,12.0,10.0,,12.0,,,7.0,9.0,,,,,10.0,,,8.0,,13.0,,,,6.13,,
Porto,Portugal,13.0,10.0,,11.0,,,9.0,9.5,,,,,11.0,,,11.0,,11.0,,,,8.6,,
Gil Vicente,Portugal,,,,,,,,,,,,,,,,,,,,,,48.0,,
Academica,Portugal,,,,,,,,,,,,,,,,,,,,,,105.0,,
Arouca,Portugal,,,,,,,,,,,,,,,,,,,,,,105.0,,
Belenenses,Portugal,,,,,,,,,,,,,,,,,,,,,,105.0,,
Maritimo,Portugal,,,,,,,,,,,,,,,,,,,,,,105.0,,
Nacional,Portugal,,,,,,,,,,,,,,,,,,,,,,105.0,,
Olhanense,Portugal,,,,,,,,,,,,,,,,,,,,,,105.0,,
Rio Ave,Portugal,,,,,,,,,,,,,,,,,,,,,,105.0,,
Vitoria Setubal,Portugal,,,,,,,,,,,,,,,,,,,,,,105.0,,
Braga,Portugal,,,,,,,,,,,,,,,,,,,,,,209.0,,
Estoril,Portugal,,,,,,,,,,,,,,,,,,,,,,219.0,,
Guimaraes,Portugal,,,,,,,,,,,,,,,,,,,,,,219.0,,
Pacos Ferreira,Portugal,,,,,,,,,,,,,,,,,,,,,,380.0,,
Fenerbahce,Turkey,,,,,,,1.14,1.17,,,,,,,,,,,,,,1.03,,
Galatasaray,Turkey,,,,,,,5.0,4.5,,,,,,,,,,,,,,2.14,,
Besiktas,Turkey,,,,,,,34.0,21.0,,,,,,,,,,,,,,9.55,,
Kayserispor,Turkey,,,,,,,,,,,,,,,,,,,,,,1.48,,
Kasimpasa,Turkey,,,,,,,,,,,,,,,,,,,,,,3.38,,
Sivasspor,Turkey,,,,,,,,,,,,,,,,,,,,,,3.38,,
Akhisar,Turkey,,,,,,,,,,,,,,,,,,,,,,32.0,,
Antalyaspor,Turkey,,,,,,,,,,,,,,,,,,,,,,32.0,,
Bursaspor,Turkey,,,,,,,,,,,,,,,,,,,,,,32.0,,
Elazigspor,Turkey,,,,,,,,,,,,,,,,,,,,,,32.0,,
Erciyesspor,Turkey,,,,,,,,,,,,,,,,,,,,,,32.0,,
Eskisehirspor,Turkey,,,,,,,,,,,,,,,,,,,,,,32.0,,
Gaziantepspor,Turkey,,,,,,,,,,,,,,,,,,,,,,32.0,,
Genclerbirligi,Turkey,,,,,,,,,,,,,,,,,,,,,,32.0,,
Karabukspor,Turkey,,,,,,,,,,,,,,,,,,,,,,32.0,,
Konyaspor,Turkey,,,,,,,,,,,,,,,,,,,,,,32.0,,
Rizespor,Turkey,,,,,,,,,,,,,,,,,,,,,,32.0,,
Trabzonspor,Turkey,,,,,,,,,,,,,,,,,,,,,,32.0,,
