name,country,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Atletico Madrid,Spain,,,,,,,11.0,12.0,,12.0,,,,11.0,,,,12.0,,9.2,12.4,9.54,
Villarreal,Spain,,,,,,,,,,300.0,,,,,,,,300.0,,345.0,570.0,456.0,
Athl Bilbao,Spain,,,,,,,,401.0,,400.0,,,,,,,,400.0,,565.0,950.0,766.0,
Valencia,Spain,,,,,,,,426.0,,600.0,,,,,,,,600.0,,310.0,513.0,412.0,
Real Sociedad,Spain,,,,,,,,401.0,,600.0,,,,,,,,600.0,,345.0,570.0,456.0,
Sevilla,Spain,,,,,,,,326.0,,900.0,,,,,,,,900.0,,255.0,542.0,340.0,
Getafe,Spain,,,,,,,,1001.0,,2500.0,,,,,,,,2500.0,,565.0,950.0,766.0,
Espanyol,Spain,,,,,,,,1001.0,,3000.0,,,,,,,,3000.0,,565.0,950.0,766.0,
Levante,Spain,,,,,,,,2001.0,,3000.0,,,,,,,,3000.0,,565.0,950.0,766.0,
Granada,Spain,,,,,,,,3001.0,,2500.0,,,,,,,,2500.0,,565.0,950.0,766.0,
Betis,Spain,,,,,,,,326.0,,4000.0,,,,,,,,4000.0,,565.0,950.0,766.0,
Celta Vigo,Spain,,,,,,,,1501.0,,4000.0,,,,,,,,4000.0,,565.0,950.0,766.0,
Malaga,Spain,,,,,,,,501.0,,4000.0,,,,,,,,4000.0,,565.0,950.0,766.0,
Rayo Vallecano,Spain,,,,,,,,1001.0,,4000.0,,,,,,,,4000.0,,565.0,950.0,766.0,
Almeria,Spain,,,,,,,,,,5000.0,,,,,,,,5000.0,,565.0,950.0,766.0,
Osasuna,Spain,,,,,,,,2501.0,,5000.0,,,,,,,,5000.0,,565.0,950.0,766.0,
Valladolid,Spain,,,,,,,,2501.0,,5000.0,,,,,,,,5000.0,,565.0,950.0,766.0,
