name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
dundee utd,Scotland,151.0,67.0,101.0,151.0,101.0,,67.0,101.0,101.0,101.0,101.0,301.0,151.0,81.0,151.0,101.0,,81.0,101.0,101.0,101.0,95.0,,
st johnstone,Scotland,251.0,81.0,151.0,201.0,151.0,,151.0,301.0,126.0,251.0,151.0,301.0,201.0,126.0,251.0,251.0,,126.0,251.0,251.0,251.0,95.0,,
dundee,Scotland,251.0,501.0,501.0,501.0,501.0,,251.0,501.0,201.0,751.0,251.0,501.0,501.0,251.0,501.0,501.0,,251.0,751.0,201.0,751.0,95.0,,
partick,Scotland,751.0,501.0,501.0,501.0,501.0,,751.0,501.0,501.0,751.0,501.0,751.0,501.0,501.0,751.0,501.0,,501.0,751.0,751.0,751.0,95.0,,
kilmarnock,Scotland,1001.0,1001.0,1001.0,1001.0,1001.0,,1001.0,501.0,501.0,1001.0,751.0,1001.0,1001.0,751.0,751.0,1001.0,,751.0,1001.0,751.0,1001.0,95.0,,
motherwell,Scotland,251.0,501.0,1001.0,501.0,1001.0,,751.0,501.0,501.0,1001.0,501.0,1001.0,751.0,501.0,501.0,1001.0,,501.0,1001.0,251.0,1001.0,95.0,,
ross county,Scotland,1001.0,1001.0,1001.0,1001.0,1001.0,,501.0,501.0,501.0,1001.0,751.0,751.0,1001.0,751.0,1001.0,1001.0,,751.0,1001.0,751.0,1001.0,95.0,,
hamilton,Scotland,501.0,501.0,501.0,501.0,501.0,,1501.0,501.0,501.0,501.0,501.0,1001.0,501.0,501.0,501.0,501.0,,501.0,501.0,501.0,501.0,95.0,,
psv,Holland,2.38,,2.25,,2.25,,,2.2,,2.3,,,,,2.37,,2.25,,2.3,2.2,2.3,2.33,,
ajax,Holland,2.5,,2.63,,2.63,,,2.62,,2.4,,,,,2.37,,2.35,,2.4,2.25,2.4,2.42,,
feyenoord,Holland,7.5,,6.0,,6.0,,,5.5,,6.0,,,,,5.0,,6.2,,6.0,6.5,6.0,4.51,,
vitesse,Holland,26.0,,26.0,,26.0,,,26.0,,26.0,,,,,34.0,,27.0,,26.0,34.0,26.0,28.0,,
az alkmaar,Holland,21.0,,41.0,,41.0,,,21.0,,51.0,,,,,51.0,,39.0,,51.0,41.0,51.0,42.0,,
twente,Holland,51.0,,51.0,,51.0,,,34.0,,51.0,,,,,51.0,,48.0,,51.0,41.0,51.0,42.0,,
heerenveen,Holland,101.0,,101.0,,101.0,,,101.0,,71.0,,,,,51.0,,82.0,,71.0,67.0,71.0,42.0,,
groningen,Holland,151.0,,201.0,,201.0,,,201.0,,201.0,,,,,201.0,,175.0,,201.0,151.0,201.0,95.0,,
zwolle,Holland,151.0,,201.0,,201.0,,,201.0,,201.0,,,,,201.0,,170.0,,201.0,151.0,201.0,95.0,,
utrecht,Holland,101.0,,251.0,,251.0,,,201.0,,401.0,,,,,251.0,,251.0,,401.0,201.0,401.0,95.0,,
nec nijmegen,Holland,501.0,,501.0,,501.0,,,501.0,,301.0,,,,,501.0,,351.0,,301.0,201.0,301.0,95.0,,
willem ii,Holland,251.0,,501.0,,501.0,,,501.0,,501.0,,,,,501.0,,401.0,,501.0,301.0,501.0,95.0,,
cambuur,Holland,1001.0,,1001.0,,1001.0,,,501.0,,501.0,,,,,501.0,,601.0,,501.0,301.0,501.0,95.0,,
den haag,Holland,1001.0,,1001.0,,1001.0,,,501.0,,751.0,,,,,751.0,,751.0,,751.0,501.0,751.0,95.0,,
heracles,Holland,1001.0,,1001.0,,1001.0,,,501.0,,751.0,,,,,751.0,,751.0,,751.0,501.0,751.0,95.0,,
roda,Holland,1001.0,,1001.0,,1001.0,,,501.0,,801.0,,,,,751.0,,801.0,,801.0,501.0,801.0,95.0,,
sbv excelsior,Holland,1001.0,,1001.0,,1001.0,,,501.0,,901.0,,,,,1001.0,,851.0,,901.0,501.0,901.0,95.0,,
de graafschap,Holland,1501.0,,1001.0,,1001.0,,,501.0,,901.0,,,,,751.0,,851.0,,901.0,501.0,901.0,95.0,,
benfica,Portugal,2.1,,2.25,,2.25,,,,,2.1,,,2.1,,2.1,,2.1,,2.1,2.1,2.1,2.03,,
porto,Portugal,2.38,,2.0,,2.0,,,,,2.2,,,2.1,,2.1,,2.2,,2.2,2.3,2.2,1.99,,
sporting lisbon,Portugal,7.5,,6.0,,6.0,,,,,7.0,,,7.0,,7.0,,7.0,,7.0,7.0,7.0,6.13,,
braga,Portugal,81.0,,67.0,,67.0,,,,,67.0,,,81.0,,34.0,,100.0,,67.0,201.0,67.0,28.0,,
maritimo,Portugal,151.0,,251.0,,251.0,,,,,101.0,,,251.0,,67.0,,120.0,,101.0,67.0,101.0,48.0,,
nacional madeira,Portugal,151.0,,251.0,,251.0,,,,,101.0,,,251.0,,101.0,,125.0,,101.0,101.0,101.0,81.0,,
guimaraes,Portugal,101.0,,201.0,,201.0,,,,,101.0,,,251.0,,251.0,,110.0,,101.0,101.0,101.0,95.0,,
pacos ferreira,Portugal,151.0,,251.0,,251.0,,,,,151.0,,,251.0,,251.0,,155.0,,151.0,151.0,151.0,95.0,,
belenenses,Portugal,151.0,,501.0,,501.0,,,,,301.0,,,501.0,,101.0,,221.0,,301.0,201.0,301.0,81.0,,
estoril,Portugal,251.0,,501.0,,501.0,,,,,151.0,,,501.0,,101.0,,190.0,,151.0,101.0,151.0,81.0,,
boavista,Portugal,251.0,,501.0,,501.0,,,,,201.0,,,501.0,,301.0,,201.0,,201.0,201.0,201.0,95.0,,
moreirense,Portugal,251.0,,501.0,,501.0,,,,,201.0,,,501.0,,151.0,,251.0,,201.0,201.0,201.0,95.0,,
rio ave,Portugal,201.0,,501.0,,501.0,,,,,101.0,,,501.0,,201.0,,155.0,,101.0,101.0,101.0,95.0,,
academica,Portugal,751.0,,751.0,,751.0,,,,,301.0,,,751.0,,301.0,,451.0,,301.0,201.0,301.0,95.0,,
arouca,Portugal,751.0,,,,,,,,,201.0,,,751.0,,501.0,,401.0,,201.0,201.0,201.0,95.0,,
tondela,Portugal,1001.0,,1001.0,,1001.0,,,,,501.0,,,1001.0,,1001.0,,651.0,,501.0,501.0,501.0,95.0,,
u madeira,Portugal,1001.0,,1001.0,,1001.0,,,,,501.0,,,1001.0,,1001.0,,651.0,,501.0,501.0,501.0,95.0,,
vitoria setubal,Portugal,251.0,,1001.0,,1001.0,,,,,201.0,,,1001.0,,1001.0,,221.0,,201.0,151.0,201.0,95.0,,
chaves,Portugal,,,1001.0,,1001.0,,,,,,,,1001.0,,,,,,,,,,,
galatasaray,Turkey,,,,,,,1.14,,,2.5,,,,,,,,,2.5,2.6,2.5,,,
fenerbahce,Turkey,,,,,,,5.0,,,2.5,,,,,,,,,2.5,2.5,2.5,,,
trabzonspor,Turkey,,,,,,,,,,8.0,,,,,,,,,8.0,7.5,8.0,,,
kasimpasa,Turkey,,,,,,,,,,26.0,,,,,,,,,26.0,26.0,26.0,,,
besiktas,Turkey,,,,,,,34.0,,,6.0,,,,,,,,,6.0,6.0,6.0,,,
bursaspor,Turkey,,,,,,,67.0,,,11.0,,,,,,,,,11.0,11.0,11.0,,,
gaziantepspor,Turkey,,,,,,,67.0,,,36.0,,,,,,,,,36.0,41.0,36.0,,,
mersin i y,Turkey,,,,,,,67.0,,,51.0,,,,,,,,,51.0,51.0,51.0,,,
akhisar,Turkey,,,,,,,101.0,,,81.0,,,,,,,,,81.0,81.0,81.0,,,
eskisehirspor,Turkey,,,,,,,67.0,,,101.0,,,,,,,,,101.0,101.0,101.0,,,
genclerbirligi,Turkey,,,,,,,101.0,,,31.0,,,,,,,,,31.0,41.0,31.0,,,
sivasspor,Turkey,,,,,,,101.0,,,81.0,,,,,,,,,81.0,81.0,81.0,,,
istanbul bb,Turkey,,,,,,,126.0,,,21.0,,,,,,,,,21.0,21.0,21.0,,,
karabukspor,Turkey,,,,,,,126.0,,,,,,,,,,,,,,,,,
kayserispor,Turkey,,,,,,,,,,151.0,,,,,,,,,151.0,151.0,151.0,,,
rizespor,Turkey,,,,,,,151.0,,,101.0,,,,,,,,,101.0,101.0,101.0,,,
antalyaspor,Turkey,,,,,,,,,,501.0,,,,,,,,,501.0,501.0,501.0,,,
osmanlispor,Turkey,,,,,,,,,,501.0,,,,,,,,,501.0,501.0,501.0,,,
balikesirspor,Turkey,,,,,,,751.0,,,,,,,,,,,,,,,,,
erciyesspor,Turkey,,,,,,,1001.0,,,,,,,,,,,,,,,,,
konyaspor,Turkey,,,,,,,1001.0,,,101.0,,,,,,,,,101.0,101.0,101.0,,,
