name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sporting Bet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
palermo,Italy,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1501.0,1001.0,1001.0,,5001.0,,1001.0,1501.0,,2001.0,,951.0,1501.0,,751.0,,950.0,844.0,
celtic,Scotland,,1.06,,1.06,1.07,,1.06,1.06,,1.06,1.07,,1.06,,,1.05,,,,1.06,,1.06,1.11,1.08,
dundee utd,Scotland,,17.0,,17.0,17.0,,17.0,17.0,,17.0,17.0,,17.0,,,17.0,,,,17.0,,17.0,22.0,16.0,
aberdeen,Scotland,,19.0,,19.0,21.0,,17.0,21.0,,26.0,21.0,,17.0,,,17.0,,,,26.0,,26.0,30.0,16.0,
hamilton,Scotland,,51.0,,41.0,51.0,,51.0,41.0,,51.0,41.0,,51.0,,,41.0,,,,51.0,,51.0,67.0,46.0,
inverness,Scotland,,51.0,,51.0,51.0,,67.0,67.0,,67.0,51.0,,51.0,,,51.0,,,,67.0,,67.0,67.0,45.0,
kilmarnock,Scotland,,81.0,,81.0,101.0,,126.0,101.0,,201.0,81.0,,101.0,,,81.0,,,,201.0,,201.0,114.0,101.0,
st johnstone,Scotland,,401.0,,301.0,401.0,,501.0,251.0,,251.0,501.0,,301.0,,,501.0,,,,251.0,,251.0,209.0,182.0,
dundee,Scotland,,501.0,,501.0,401.0,,501.0,501.0,,501.0,751.0,,501.0,,,751.0,,,,501.0,,501.0,238.0,182.0,
motherwell,Scotland,,301.0,,501.0,401.0,,1001.0,201.0,,251.0,751.0,,501.0,,,1001.0,,,,251.0,,251.0,162.0,128.0,
partick,Scotland,,501.0,,501.0,751.0,,501.0,501.0,,751.0,1001.0,,501.0,,,501.0,,,,751.0,,751.0,475.0,403.0,
st mirren,Scotland,,1501.0,,1001.0,1501.0,,1001.0,1001.0,,2001.0,1251.0,,1001.0,,,1001.0,,,,2001.0,,2001.0,475.0,403.0,
ross county,Scotland,,2001.0,,1501.0,5001.0,,7501.0,1001.0,,5001.0,3501.0,,1501.0,,,5001.0,,,,5001.0,,5001.0,627.0,538.0,
psv,Holland,,1.8,,1.8,1.8,,1.73,1.83,,1.8,,,,,,1.8,,,,1.8,,1.8,1.85,1.78,
ajax,Holland,,2.25,,2.3,2.38,,2.5,2.4,,2.3,,,,,,2.2,,,,2.3,,2.3,2.29,2.24,
twente,Holland,,13.0,,13.0,15.0,,13.0,13.0,,15.0,,,,,,15.0,,,,15.0,,15.0,15.3,10.7,
feyenoord,Holland,,17.0,,19.0,17.0,,15.0,15.0,,15.0,,,,,,15.0,,,,15.0,,15.0,13.4,9.54,
vitesse,Holland,,34.0,,51.0,51.0,,81.0,51.0,,36.0,,,,,,51.0,,,,36.0,,36.0,42.0,40.0,
heerenveen,Holland,,41.0,,51.0,51.0,,41.0,51.0,,101.0,,,,,,67.0,,,,101.0,,101.0,62.0,56.0,
az alkmaar,Holland,,80.0,,67.0,81.0,,81.0,81.0,,101.0,,,,,,67.0,,,,101.0,,101.0,71.0,66.0,
zwolle,Holland,,151.0,,101.0,151.0,,101.0,81.0,,151.0,,,,,,126.0,,,,151.0,,151.0,81.0,72.0,
cambuur,Holland,,201.0,,201.0,251.0,,151.0,151.0,,251.0,,,,,,301.0,,,,251.0,,251.0,209.0,188.0,
groningen,Holland,,101.0,,101.0,101.0,,126.0,101.0,,501.0,,,,,,101.0,,,,501.0,,501.0,143.0,136.0,
utrecht,Holland,,,,151.0,151.0,,126.0,101.0,,501.0,,,,,,201.0,,,,501.0,,501.0,209.0,188.0,
den haag,Holland,,,,401.0,501.0,,201.0,251.0,,801.0,,,,,,,,,,801.0,,801.0,399.0,349.0,
go ahead eagles,Holland,,,,401.0,751.0,,401.0,201.0,,801.0,,,,,,,,,,801.0,,801.0,409.0,359.0,
nac breda,Holland,,,,401.0,501.0,,251.0,201.0,,801.0,,,,,,501.0,,,,801.0,,801.0,409.0,359.0,
sbv excelsior,Holland,,,,751.0,751.0,,751.0,501.0,,801.0,,,,,,,,,,801.0,,801.0,409.0,359.0,
willem ii,Holland,,,,301.0,501.0,,401.0,301.0,,801.0,,,,,,,,,,801.0,,801.0,409.0,359.0,
fc dordrecht,Holland,,,,751.0,1001.0,,501.0,501.0,,801.0,,,,,,,,,,801.0,,801.0,409.0,359.0,
heracles,Holland,,,,751.0,1001.0,,401.0,401.0,,801.0,,,,,,,,,,801.0,,801.0,409.0,359.0,
porto,Portugal,,1.83,,,,,1.91,1.83,,,,,,,,1.9,,,,,,,1.94,,
benfica,Portugal,,2.2,,,,,2.1,2.1,,,,,,,,2.1,,,,,,,2.16,,
sporting lisbon,Portugal,,12.0,,,,,13.0,13.0,,,,,,,,11.0,,,,,,,12.4,,
braga,Portugal,,126.0,,,,,101.0,91.0,,,,,,,,126.0,,,,,,,105.0,,
maritimo,Portugal,,251.0,,,,,251.0,201.0,,,,,,,,251.0,,,,,,,95.0,,
guimaraes,Portugal,,251.0,,,,,101.0,91.0,,,,,,,,251.0,,,,,,,257.0,,
rio ave,Portugal,,301.0,,,,,251.0,201.0,,,,,,,,301.0,,,,,,,228.0,,
nacional madeira,Portugal,,301.0,,,,,301.0,301.0,,,,,,,,301.0,,,,,,,333.0,,
academica,Portugal,,251.0,,,,,501.0,276.0,,,,,,,,301.0,,,,,,,95.0,,
arouca,Portugal,,301.0,,,,,401.0,301.0,,,,,,,,501.0,,,,,,,95.0,,
belenenses,Portugal,,301.0,,,,,501.0,201.0,,,,,,,,501.0,,,,,,,95.0,,
moreirense,Portugal,,501.0,,,,,501.0,401.0,,,,,,,,501.0,,,,,,,95.0,,
pacos ferreira,Portugal,,501.0,,,,,501.0,401.0,,,,,,,,,,,,,,,95.0,,
estoril,Portugal,,251.0,,,,,501.0,301.0,,,,,,,,501.0,,,,,,,247.0,,
boavista,Portugal,,301.0,,,,,251.0,401.0,,,,,,,,501.0,,,,,,,295.0,,
vitoria setubal,Portugal,,301.0,,,,,501.0,501.0,,,,,,,,501.0,,,,,,,333.0,,
pcos ferr,Portugal,,,,,,,501.0,,,,,,,,,,,,,,,,,,
gil vicente,Portugal,,1001.0,,,,,501.0,501.0,,,,,,,,,,,,,,,95.0,,
penafiel,Portugal,,1001.0,,,,,501.0,501.0,,,,,,,,,,,,,,,95.0,,
galatasaray,Turkey,,,,,,,2.1,2.25,,,,,,,,,,,,,,,,,
fenerbahce,Turkey,,,,,,,2.5,2.5,,,,,,,,,,,,,,,,,
besiktas,Turkey,,,,,,,6.0,7.0,,,,,,,,,,,,,,,,,
trabzonspor,Turkey,,,,,,,21.0,26.0,,,,,,,,,,,,,,,14.3,,
kasimpasa,Turkey,,,,,,,34.0,21.0,,,,,,,,,,,,,,,,,
bursaspor,Turkey,,,,,,,41.0,41.0,,,,,,,,,,,,,,,,,
eskisehirspor,Turkey,,,,,,,51.0,41.0,,,,,,,,,,,,,,,,,
gaziantepspor,Turkey,,,,,,,51.0,34.0,,,,,,,,,,,,,,,,,
genclerbirligi,Turkey,,,,,,,101.0,51.0,,,,,,,,,,,,,,,,,
sivasspor,Turkey,,,,,,,101.0,51.0,,,,,,,,,,,,,,,,,
istanbul bb,Turkey,,,,,,,126.0,126.0,,,,,,,,,,,,,,,,,
mersin i y,Turkey,,,,,,,151.0,126.0,,,,,,,,,,,,,,,,,
karabukspor,Turkey,,,,,,,126.0,201.0,,,,,,,,,,,,,,,,,
akhisar,Turkey,,,,,,,151.0,276.0,,,,,,,,,,,,,,,,,
rizespor,Turkey,,,,,,,151.0,376.0,,,,,,,,,,,,,,,,,
balikesirspor,Turkey,,,,,,,751.0,501.0,,,,,,,,,,,,,,,,,
erciyesspor,Turkey,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,,,
konyaspor,Turkey,,,,,,,1001.0,501.0,,,,,,,,,,,,,,,,,
