name,country,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Spreadex,Betfair Sportsbook,Betway,Bet Bright,Titan Bet,Unibet,Bwin,32Red Bet,Betfair,Betdaq,Matchbook
vfb stuttgart,Germany,10001.0,,,,,,1001.0,501.0,,,,,,,,,,,,,,,36.0,844.0,
real madrid,Spain,1.73,1.83,1.83,1.73,1.83,1.73,1.73,1.8,1.73,1.85,1.67,2.0,1.83,1.85,1.75,1.8,1.8,,1.85,1.85,1.8,1.85,1.93,1.9,
barcelona,Spain,2.1,2.1,2.1,2.1,2.1,2.05,2.0,2.1,,2.0,2.15,1.91,2.0,2.0,2.05,2.0,2.05,,2.0,2.0,2.05,2.0,2.03,1.97,
atletico madrid,Spain,34.0,17.0,17.0,26.0,17.0,17.0,26.0,17.0,,26.0,34.0,34.0,17.0,23.0,41.0,17.0,17.0,,23.0,26.0,13.0,26.0,29.0,28.0,
valencia,Spain,151.0,,201.0,251.0,201.0,151.0,,201.0,,151.0,401.0,251.0,201.0,,501.0,,201.0,,,151.0,201.0,151.0,209.0,369.0,
seville,Spain,1001.0,,401.0,501.0,401.0,501.0,,501.0,,1001.0,2001.0,,751.0,,2001.0,,401.0,,,1001.0,501.0,1001.0,475.0,572.0,
malaga,Spain,4001.0,,,,,,,1001.0,,2001.0,,,,,,,,,,2001.0,,2001.0,380.0,844.0,
celta vigo,Spain,5001.0,,,,,,,1001.0,,2501.0,,,,,,,,,,2501.0,,2501.0,950.0,844.0,
eibar,Spain,5001.0,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,950.0,844.0,
real sociedad,Spain,5001.0,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,950.0,844.0,
rayo vallecano,Spain,7501.0,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,950.0,844.0,
athletic bilbao,Spain,10001.0,,,,,,,1001.0,,2501.0,,,,,,,,,,2501.0,,2501.0,285.0,844.0,
almeria,Spain,10001.0,,,,,,,1001.0,,5001.0,,,,,,,,,,5001.0,,5001.0,950.0,844.0,
deportivo la coruna,Spain,10001.0,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,950.0,844.0,
espanyol,Spain,10001.0,,,,,,,1001.0,,2501.0,,,,,,,,,,2501.0,,2501.0,950.0,844.0,
villarreal,Spain,2001.0,,,,,,,501.0,,1001.0,10001.0,,,,2501.0,,751.0,,,1001.0,,1001.0,950.0,844.0,
cordoba,Spain,20001.0,,,,,,,1001.0,,5001.0,,,,,,,,,,5001.0,,5001.0,950.0,844.0,
elche,Spain,20001.0,,,,,,,1001.0,,5001.0,,,,,,,,,,5001.0,,5001.0,950.0,844.0,
getafe,Spain,20001.0,,,,,,,1001.0,,4001.0,,,,,,,,,,4001.0,,4001.0,950.0,844.0,
granada,Spain,20001.0,,,,,,,1001.0,,5001.0,,,,,,,,,,5001.0,,5001.0,950.0,844.0,
levante,Spain,20001.0,,,,,,,1001.0,,5001.0,,,,,,,,,,5001.0,,5001.0,950.0,844.0,
chelsea,England,1.13,1.12,1.12,1.13,1.13,,1.12,1.12,1.13,1.13,1.09,1.12,1.13,1.12,1.13,1.12,1.13,,1.12,1.13,1.12,1.13,1.14,1.16,1.17
man city,England,7.5,7.5,7.5,7.5,7.5,,7.0,8.0,7.5,7.5,7.5,8.0,7.5,7.5,7.5,7.5,7.5,,7.5,7.5,7.5,7.5,8.22,8.18,8.52
man utd,England,67.0,81.0,41.0,51.0,41.0,,51.0,81.0,51.0,67.0,67.0,67.0,41.0,51.0,81.0,51.0,67.0,,51.0,67.0,67.0,67.0,95.0,95.0,90.0
arsenal,England,101.0,81.0,51.0,81.0,51.0,,67.0,101.0,67.0,101.0,101.0,81.0,67.0,67.0,81.0,51.0,67.0,,67.0,101.0,101.0,101.0,124.0,134.0,100.0
southampton,England,301.0,251.0,201.0,301.0,201.0,,276.0,251.0,201.0,301.0,401.0,301.0,201.0,251.0,301.0,251.0,151.0,,251.0,301.0,301.0,301.0,741.0,718.0,496.0
liverpool,England,401.0,401.0,351.0,301.0,351.0,,451.0,251.0,351.0,401.0,401.0,301.0,301.0,301.0,401.0,251.0,351.0,,301.0,401.0,401.0,401.0,504.0,446.0,496.0
tottenham,England,401.0,501.0,351.0,401.0,351.0,,476.0,426.0,351.0,401.0,401.0,401.0,301.0,401.0,401.0,351.0,301.0,,401.0,401.0,401.0,401.0,950.0,917.0,496.0
everton,England,2001.0,,,,,,,2501.0,,,,,,,,,,,,,,,,917.0,496.0
newcastle,England,2501.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
stoke,England,2501.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
swansea,England,2501.0,,,,,,,,,,,,,,,,,,,,,,,917.0,496.0
aston villa,England,10001.0,,,,,,,,,,,,,,,,,,,,,,,917.0,496.0
crystal palace,England,10001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
sunderland,England,10001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
west brom,England,10001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
west ham,England,2001.0,,,,,,,1501.0,,,10001.0,,,,,,,,,,,,,970.0,496.0
hull,England,15001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
qpr,England,15001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,
burnley,England,20001.0,,,,,,,,,,,,,,,,,,,,,,,970.0,496.0
leicester,England,20001.0,,,,,,,,,,,,,,,,,,,,,,,,
psg,France,1.33,1.33,1.29,1.33,1.29,1.25,1.2,1.33,1.29,1.35,1.33,,1.33,1.25,,1.33,1.25,,1.25,1.35,1.35,1.35,1.45,1.42,
lyon,France,4.33,4.0,4.33,4.0,4.33,4.33,5.0,4.0,4.33,4.5,4.5,,5.0,4.5,,4.33,4.5,,4.5,4.5,4.0,4.5,3.85,3.33,
marseille,France,12.0,11.0,10.0,11.0,10.0,12.0,11.0,11.0,11.0,11.0,12.0,,9.0,10.0,,12.0,10.0,,10.0,11.0,11.0,11.0,6.89,5.07,
monaco,France,67.0,81.0,81.0,81.0,81.0,81.0,81.0,51.0,81.0,51.0,101.0,,67.0,81.0,,81.0,81.0,,81.0,51.0,67.0,51.0,5.27,25.0,
st etienne,France,151.0,101.0,151.0,101.0,151.0,151.0,101.0,151.0,151.0,,151.0,,101.0,101.0,,,151.0,,101.0,,151.0,,16.2,85.0,
bordeaux,France,751.0,,,,,,,401.0,,,751.0,,,,,,,,,,,,5.37,58.0,
montpellier,France,1001.0,,,,,,1001.0,501.0,,,1001.0,,,,,,,,,,,,5.09,7.4,
nantes,France,501.0,,,,,,1001.0,501.0,,,1001.0,,,,,,,,,,,,5.09,7.4,
lille,France,501.0,,,,,,,1001.0,,,1001.0,,,,,,,,,,,,7.65,21.0,
lorient,France,2001.0,,,,,,1001.0,1001.0,,,2001.0,,,,,,,,,,,,5.09,7.4,
nice,France,2001.0,,,,,,1001.0,1001.0,,,2001.0,,,,,,,,,,,,5.09,7.4,
rennes,France,1501.0,,,,,,2501.0,1001.0,,,2501.0,,,,,,,,,,,,5.09,7.4,
bastia,France,3001.0,,,,,,1501.0,1001.0,,,3001.0,,,,,,,,,,,,5.09,7.4,
guingamp,France,3001.0,,,,,,2001.0,1001.0,,,3001.0,,,,,,,,,,,,5.09,7.4,
reims,France,5001.0,,,,,,2001.0,1001.0,,,5001.0,,,,,,,,,,,,5.09,7.4,
toulouse,France,5001.0,,,,,,1501.0,1001.0,,,5001.0,,,,,,,,,,,,5.09,7.4,
caen,France,5001.0,,,,,,1501.0,1001.0,,,10001.0,,,,,,,,,,,,5.09,7.4,
evian,France,10001.0,,,,,,10001.0,1001.0,,,10001.0,,,,,,,,,,,,5.09,7.4,
lens,France,10001.0,,,,,,10001.0,1001.0,,,10001.0,,,,,,,,,,,,5.09,7.4,
metz,France,10001.0,,,,,,1001.0,1001.0,,,10001.0,,,,,,,,,,,,5.09,7.4,
juventus,Italy,1.1,1.12,1.1,1.09,1.1,1.11,1.1,1.1,1.1,1.1,1.1,1.06,1.11,1.11,1.08,1.12,1.1,,1.11,1.38,1.11,1.1,1.14,1.1,
roma,Italy,7.5,5.5,6.5,7.0,6.5,7.0,6.5,6.5,7.0,6.5,7.0,8.0,6.5,6.5,7.5,6.0,6.5,,6.5,3.3,6.5,6.5,8.41,7.98,
napoli,Italy,34.0,29.0,29.0,26.0,29.0,34.0,,36.0,34.0,26.0,29.0,51.0,34.0,29.0,41.0,41.0,34.0,,29.0,26.0,26.0,26.0,40.0,38.0,
fiorentina,Italy,251.0,,,,,,,101.0,,,201.0,,,,,251.0,,,,101.0,101.0,,133.0,407.0,
lazio,Italy,351.0,,,,,,,151.0,,,151.0,,,,,,,,,151.0,301.0,,323.0,281.0,
sampdoria,Italy,501.0,,,,,,751.0,501.0,,,501.0,,,,,,,,,201.0,501.0,,38.0,252.0,
inter,Italy,751.0,,,,,,,501.0,,,501.0,,,,,,,,,,501.0,,371.0,325.0,
torino,Italy,1501.0,,,,,,501.0,1001.0,,,1001.0,,,,,,,,,,,,57.0,844.0,
ac milan,Italy,1501.0,,,,,,,501.0,,,1001.0,,,,,,,,,101.0,,,570.0,844.0,
udinese,Italy,1501.0,,,,,,301.0,1001.0,,,1501.0,,,,,,,,,,,,,844.0,
genoa,Italy,2001.0,,,,,,1501.0,1001.0,,,1001.0,,,,,,,,,,,,38.0,844.0,
palermo,Italy,2001.0,,,,,,1501.0,1001.0,,,1501.0,,,,,,,,,,,,57.0,844.0,
sassuolo,Italy,2501.0,,,,,,2501.0,1001.0,,,2501.0,,,,,,,,,,,,,844.0,
atalanta,Italy,2501.0,,,,,,1501.0,1001.0,,,4001.0,,,,,,,,,,,,57.0,844.0,
cagliari,Italy,5001.0,,,,,,2001.0,1001.0,,,5001.0,,,,,,,,,,,,57.0,844.0,
empoli,Italy,5001.0,,,,,,2001.0,1001.0,,,4001.0,,,,,,,,,,,,57.0,844.0,
chievo,Italy,7501.0,,,,,,2501.0,1001.0,,,5001.0,,,,,,,,,,,,57.0,844.0,
verona,Italy,7501.0,,,,,,1001.0,1001.0,,,7501.0,,,,,,,,,,,,57.0,844.0,
parma,Italy,10001.0,,,,,,1001.0,1001.0,,,,,,,,,,,,,,,57.0,844.0,
cesena,Italy,20001.0,,,,,,2501.0,1001.0,,,,,,,,,,,,,,,57.0,844.0,
celtic,Scotland,1.04,1.05,1.04,1.04,1.04,1.04,1.04,1.05,1.04,1.03,1.04,1.04,1.04,1.04,,1.04,1.04,,1.04,1.03,1.04,1.03,1.07,1.04,
aberdeen,Scotland,12.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0,12.0,11.0,11.0,,11.0,11.0,,11.0,11.0,11.0,11.0,14.8,12.6,
inverness,Scotland,67.0,34.0,34.0,51.0,34.0,34.0,34.0,34.0,34.0,81.0,41.0,67.0,34.0,34.0,,41.0,41.0,,34.0,81.0,34.0,81.0,81.0,126.0,
dundee utd,Scotland,101.0,51.0,51.0,67.0,51.0,67.0,67.0,51.0,51.0,41.0,67.0,101.0,51.0,51.0,,41.0,51.0,,51.0,41.0,51.0,41.0,90.0,95.0,
hamilton,Scotland,1501.0,,,,,,,501.0,,,,,,,,,,,,,,,40.0,171.0,
st johnstone,Scotland,1501.0,,,,,,,501.0,,,,,,,,,,,,,,,209.0,218.0,
kilmarnock,Scotland,2001.0,,,,,,,501.0,,,,,,,,,,,,,,,285.0,272.0,
dundee,Scotland,2501.0,,,,,,,1001.0,,,,,,,,,,,,,,,30.0,844.0,
st mirren,Scotland,10001.0,,,,,,,1001.0,,,,,,,,,,,,,,,30.0,844.0,
motherwell,Scotland,10001.0,,,,,,,1001.0,,,,,,,,,,,,,,,42.0,844.0,
