name,group,Bet 365,Sky Bet,Totesport,Boylesports,Betfred,Sportingbet,Bet Victor,Paddy Power,Stan James,888sport,Ladbrokes,Coral,William Hill,Winner,Betfair Sportsbook,Betway,BetBright,Titan Bet,Unibet,Bwin,32Red Bet,10Bet,Marathon Bet,Betfair,Betdaq,Matchbook
fc astana,c,251.0,51.0,,151.0,201.0,51.0,101.0,201.0,151.0,151.0,201.0,126.0,,151.0,151.0,126.0,185.0,151.0,151.0,151.0,151.0,,,,26.0,
juventus,d,1.73,1.73,1.73,1.73,1.73,1.8,1.8,1.62,1.73,1.75,1.75,1.73,,1.73,1.66,1.73,1.7,1.73,1.75,1.8,1.75,,,,,
man city,d,4.0,4.33,4.0,3.75,4.0,4.0,4.0,4.33,4.0,4.25,4.0,3.5,,4.0,4.0,4.0,3.95,4.0,4.25,4.0,4.25,,,,,
sevilla,d,5.0,4.0,4.5,4.5,4.5,3.6,3.75,4.5,4.5,4.25,4.2,5.0,,4.5,4.5,5.0,4.4,4.5,4.25,4.5,4.25,,,,,
monchengladbach,d,15.0,26.0,21.0,23.0,21.0,26.0,26.0,26.0,21.0,31.0,26.0,23.0,,23.0,29.0,15.0,24.0,23.0,31.0,23.0,31.0,,,,,
barcelona,e,1.13,1.12,,,1.02,1.12,1.1,1.1,,,1.1,,,1.11,1.12,,,1.11,,1.1,,,,,1.05,
bayer leverkusen,e,6.5,7.5,,,1.8,7.0,8.0,9.0,,,9.0,,,8.0,8.0,,,8.0,,8.0,,,,,6.63,
roma,e,21.0,19.0,,,1.83,17.0,17.0,19.0,,,11.0,,,15.0,11.0,,,15.0,,15.0,,,,,8.76,
bate borisov,e,151.0,41.0,,,34.0,41.0,51.0,101.0,,,101.0,,,51.0,101.0,,,51.0,,101.0,,,,,,
bayern munich,f,1.02,1.06,1.1,,1.1,1.04,1.02,1.02,,,1.02,,,1.03,1.05,,1.09,1.03,,1.02,,,,,,
arsenal,f,26.0,17.0,7.0,,7.0,15.0,17.0,21.0,,,17.0,,,15.0,15.0,,7.0,15.0,,15.0,,,,,,
olympiakos,f,41.0,17.0,67.0,,67.0,15.0,17.0,34.0,,,26.0,,,26.0,15.0,,70.0,26.0,,26.0,,,,,,
din zagreb,f,101.0,29.0,34.0,,34.0,34.0,34.0,101.0,,,101.0,,,41.0,34.0,,33.0,41.0,,51.0,,,,,,
chelsea,g,1.73,1.8,1.29,,1.29,1.7,1.8,1.83,,,1.8,,,1.73,1.72,,1.25,1.73,,1.8,,,,,1.61,
porto,g,2.38,2.25,3.75,,3.75,2.35,2.25,2.25,,,2.38,,,2.38,2.37,,4.34,2.38,,2.3,,,,,,
dynamo kiev,g,11.0,10.0,17.0,,17.0,10.0,9.0,9.0,,,8.0,,,9.5,9.0,,16.5,9.5,,9.0,,,,,,
maccabi tel aviv,g,251.0,101.0,151.0,,151.0,201.0,251.0,201.0,,,201.0,,,201.0,251.0,,200.0,201.0,,101.0,,,,,,
zenit,h,1.44,1.44,1.73,,1.73,1.44,1.4,1.36,,,1.36,,,1.44,1.4,,1.75,1.44,,1.42,,,,,,
valencia,h,3.5,3.5,4.0,,4.0,3.2,3.5,3.75,,,3.75,,,3.25,3.25,,3.85,3.25,,3.3,,,,,,
lyon,h,11.0,12.0,4.33,,4.33,12.0,11.0,13.0,,,11.0,,,12.0,13.0,,4.4,12.0,,12.0,,,,,,
gent,h,41.0,34.0,26.0,,26.0,34.0,41.0,51.0,,,41.0,,,41.0,34.0,,24.0,41.0,,51.0,,,,,,
