name,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Uruguay,d,2.63,3.2,2.88,2.62,2.88,2.65,2.62,2.88,2.62,2.85,2.8,2.75,2.75,2.75,,2.8,2.55,2.85,3.1,2.69,2.73,2.7,
England,d,3.25,3.25,3.0,3.2,3.0,3.1,3.0,3.1,3.25,3.1,3.3,3.0,3.25,3.0,,3.25,3.4,3.1,3.5,3.25,3.33,3.28,
Costa Rica,d,51.0,17.0,51.0,34.0,51.0,81.0,51.0,34.0,15.0,35.0,26.0,34.0,67.0,51.0,,34.0,67.0,35.0,26.0,15.5,21.0,16.0,
France,e,1.67,1.91,1.8,1.75,1.8,1.65,1.8,1.83,1.67,1.8,1.67,1.73,1.8,1.72,,1.65,1.65,1.8,1.67,1.68,1.74,1.69,
Switzerland,e,3.75,4.0,3.6,3.75,3.6,3.75,3.75,3.5,3.6,3.75,3.75,3.25,3.25,3.75,,3.75,3.75,3.75,3.75,3.75,4.04,3.81,
Ecuador,e,5.0,4.2,5.0,4.2,5.0,5.0,4.5,5.0,5.5,4.5,5.5,5.5,5.5,4.5,,5.5,5.0,4.5,5.5,3.7,4.61,4.2,
Honduras,e,34.0,17.0,21.0,34.0,21.0,34.0,21.0,21.0,17.0,25.0,17.0,26.0,17.0,23.0,,23.0,34.0,25.0,18.0,16.0,25.0,17.5,
Argentina,f,1.22,1.22,1.25,1.22,1.25,1.2,1.29,1.22,1.22,1.22,1.17,1.29,1.25,1.25,,1.25,1.15,1.22,1.17,1.13,1.2,1.14,
Bosnia-Herzegovina,f,7.0,9.0,7.0,6.0,7.0,6.5,6.0,8.0,7.0,8.0,8.0,6.0,7.5,6.5,,8.0,8.0,8.0,9.0,5.3,6.89,5.46,
Nigeria,f,10.0,9.0,9.0,11.0,9.0,10.0,8.0,10.0,10.0,10.0,11.0,8.0,6.5,8.5,,8.0,11.0,10.0,12.0,6.8,9.17,8.37,
Iran,f,34.0,26.0,34.0,26.0,34.0,67.0,26.0,34.0,15.0,30.0,29.0,29.0,51.0,34.0,,26.0,81.0,30.0,19.0,16.5,24.0,18.0,
Germany,g,1.5,1.53,1.62,1.53,1.62,1.5,1.57,1.53,1.53,1.55,1.5,1.5,1.57,1.55,,1.55,1.48,1.55,1.57,,1.55,1.49,
Portugal,g,3.75,4.0,3.75,3.75,3.75,3.5,3.75,3.75,3.75,3.75,3.5,3.75,3.5,3.75,,3.75,3.75,3.75,3.75,2.88,3.8,3.47,
USA,g,13.0,9.0,10.0,11.0,10.0,11.0,13.0,12.0,9.0,12.0,13.0,12.0,11.0,11.0,,11.0,13.0,12.0,13.0,8.0,15.3,10.2,
Ghana,g,12.0,15.0,11.0,11.0,11.0,17.0,9.0,13.0,11.0,10.0,13.0,11.0,11.0,10.0,,11.0,12.0,10.0,8.0,8.6,17.1,11.7,
Belgium,h,1.67,1.73,1.67,1.67,1.67,1.55,1.53,1.67,1.57,1.6,1.53,1.62,1.57,1.6,,1.65,1.65,1.6,1.57,1.39,1.57,1.58,
Russia,h,2.75,3.25,3.0,2.8,3.0,3.0,3.25,3.2,3.0,3.0,3.5,3.25,3.0,3.0,,3.0,2.8,3.0,3.25,2.94,3.61,3.28,
South Korea,h,10.0,8.5,10.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,7.0,10.0,9.5,,8.0,9.0,9.0,9.0,6.6,11.9,7.98,
Algeria,h,34.0,15.0,23.0,26.0,23.0,41.0,34.0,23.0,23.0,25.0,19.0,26.0,26.0,26.0,,26.0,34.0,25.0,29.0,17.0,20.0,18.0,
