name,Bet Victor,Totesport,Sporting Bet,Winner,888sport,32Red Bet,Stan James,You Win,Betfred,Betway,Spreadex,Bwin,Betfair,Coral,Unibet,Betdaq,Sporting Index,Sky Bet,Bet 365,William Hill,Paddy Power,Ladbrokes,Boylesports
Croatia,151.0,151.0,,151.0,151.0,151.0,201.0,126.0,126.0,75.0,151.0,126.0,201.0,126.0,101.0,126.0,151.0,75.0,151.0,205.0,257.0,267.0,
USA,151.0,151.0,,151.0,126.0,201.0,201.0,126.0,151.0,150.0,201.0,151.0,151.0,151.0,101.0,151.0,151.0,150.0,201.0,205.0,295.0,276.0,
Ecuador,126.0,101.0,,126.0,126.0,151.0,151.0,101.0,151.0,150.0,151.0,126.0,151.0,151.0,81.0,126.0,151.0,150.0,226.0,120.0,143.0,146.0,
Ghana,151.0,201.0,,151.0,151.0,201.0,151.0,126.0,151.0,150.0,251.0,151.0,201.0,151.0,101.0,151.0,151.0,150.0,151.0,205.0,257.0,267.0,
Nigeria,201.0,201.0,,251.0,201.0,251.0,301.0,201.0,251.0,300.0,301.0,201.0,251.0,251.0,151.0,251.0,251.0,300.0,301.0,196.0,304.0,252.0,
Greece,201.0,201.0,,251.0,201.0,201.0,301.0,201.0,201.0,200.0,251.0,201.0,251.0,251.0,151.0,201.0,251.0,200.0,276.0,235.0,342.0,344.0,
South Korea,201.0,251.0,,351.0,251.0,401.0,501.0,251.0,251.0,300.0,401.0,201.0,501.0,251.0,251.0,301.0,501.0,300.0,601.0,280.0,485.0,495.0,
Australia,501.0,501.0,,401.0,501.0,501.0,1001.0,251.0,251.0,300.0,501.0,501.0,1001.0,751.0,401.0,501.0,501.0,300.0,601.0,530.0,760.0,795.0,
Cameroon,301.0,1001.0,,501.0,501.0,501.0,1001.0,251.0,351.0,500.0,751.0,501.0,751.0,751.0,401.0,501.0,401.0,500.0,801.0,650.0,950.0,970.0,
Algeria,751.0,1501.0,,1001.0,1001.0,1001.0,2501.0,2001.0,1001.0,750.0,751.0,501.0,1001.0,1501.0,401.0,1251.0,1501.0,750.0,3001.0,650.0,950.0,970.0,
Iran,751.0,2501.0,,1001.0,1501.0,1001.0,1501.0,1501.0,1001.0,1500.0,1501.0,1501.0,751.0,1501.0,401.0,1501.0,1501.0,1500.0,3501.0,655.0,950.0,970.0,
Costa Rica,1501.0,1001.0,,1001.0,1001.0,1001.0,5001.0,2001.0,1001.0,750.0,1001.0,1001.0,2501.0,1501.0,401.0,1751.0,1501.0,750.0,3001.0,655.0,950.0,970.0,
Honduras,1001.0,2001.0,,1001.0,2001.0,1001.0,5001.0,3001.0,1501.0,2000.0,1501.0,1251.0,2501.0,2501.0,401.0,2251.0,1501.0,2000.0,6001.0,655.0,950.0,970.0,
